Parameter,Nominal,best,nominal-linear,best-linear,nominal-likelihood,likelihood
theta1,0.2,0.2941990035616794,0.2,0.2941990035616794,-3.418410576784529,-5.748130162098678
theta2,0.1,0.0569611580147026,0.1,0.0569611580147026,-3.418410576784529,-5.748130162098678
theta3,0.0,0.0017569800399622,0.0,0.0017569800399622,-3.418410576784529,-5.748130162098678
sigma,0.15,0.0928320249939296,0.15,0.0928320249939296,-3.418410576784529,-5.748130162098678
Parameter,Nominal,best,nominal-linear,best-linear,nominal-likelihood,likelihood
theta1,0.2,-0.5313884600960944,0.2,0.2941789136789928,-3.418410586028321,-5.748130232114914
theta2,0.1,-1.2443781769709166,0.1,0.0569667998086526,-3.418410586028321,-5.748130232114914
theta3,0.0,-2.75524769700428,0.0,0.0017569212796402,-3.418410586028321,-5.748130232114914
sigma,0.15,-1.0322997643597869,0.15,0.09283254048127,-3.418410586028321,-5.748130232114914
Parameter,Nominal,best,nominal-linear,best-linear,nominal-likelihood,likelihood
theta1,0.07918125,0.1119953229642238,0.2,0.2941819039768867,1.5753096950853929,-5.748130204519293
theta2,0.04139269,0.0240610079811919,0.1,0.0569659772098511,1.5753096950853929,-5.748130204519293
theta3,0.0,0.0007623567083226,0.0,0.0017569327931521,1.5753096950853929,-5.748130204519293
sigma,0.17609126,0.0385532919004923,0.15,0.0928317193972712,1.5753096950853929,-5.748130204519293
Parameter,Nominal,best,nominal-linear,best-linear,nominal-likelihood,likelihood
theta1,0.18031863,0.2163305104512654,0.2,0.2941828348379999,19.16098858887073,-5.748130247202401
theta2,0.15425572,0.0781011040051403,0.1,0.0569657181226165,19.16098858887073,-5.748130247202401
theta3,0.0,0.0026800652464777,0.0,0.0017569350981326,19.16098858887073,-5.748130247202401
sigma,0.15425572,0.113554364012502,0.15,0.0928316677463805,19.16098858887073,-5.748130247202401
